epoch,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,head_lr,backbone_lr,gpu_memory_mb,seconds,w_blur,w_face_visibility,w_head_pose,w_eye_visibility,w_motion_consistency
0,1.723247,0.579615,0.307971,0.568336,1.711445,0.578726,0.266155,0.49832,0.00039999999999999996,1.3333333333333333e-05,2744.6,1035.26,0.237635,0.216459,0.140928,0.138988,0.265989
1,1.692627,0.612656,0.397017,0.606829,1.695908,0.556333,0.31233,0.523615,0.0006,2e-05,2744.1,1035.3,0.156919,0.146274,0.167547,0.167161,0.362099
2,1.683741,0.617323,0.423755,0.614694,1.772398,0.481456,0.304463,0.462612,0.0006,2e-05,2744.1,1035.08,0.242489,0.094272,0.166786,0.166478,0.329975
3,1.664487,0.631137,0.444628,0.626617,1.746748,0.480756,0.308026,0.480311,0.0005948919299051705,1.982973099683902e-05,2744.1,1035.75,0.155523,0.058728,0.15045,0.153877,0.481421
4,1.634473,0.652231,0.465029,0.649682,1.726629,0.529741,0.34234,0.521523,0.0005797416688213067,1.932472229404356e-05,2744.1,1034.81,0.042954,0.0141,0.01844,0.018052,0.906453
5,1.604992,0.671645,0.520484,0.670357,1.803475,0.456263,0.311519,0.442302,0.0005550651407188842,1.8502171357296144e-05,2744.1,1034.7,0.006229,0.002232,0.002274,0.00223,0.987035
6,1.562289,0.697032,0.549748,0.696639,1.809545,0.575227,0.297816,0.530466,0.0005217026751661977,1.7390089172206594e-05,2744.1,1033.55,0.003221,0.001196,0.001176,0.001156,0.993251
7,1.503555,0.73418,0.609494,0.734456,1.854883,0.392582,0.275455,0.370437,0.0004807903909137769,1.6026346363792565e-05,2744.1,1033.96,0.002147,0.000743,0.000689,0.000686,0.995736
8,1.430493,0.774687,0.663526,0.775048,1.902031,0.524143,0.327168,0.507958,0.0004337215067329615,1.4457383557765385e-05,2744.1,1034.46,0.002624,0.000891,0.00095,0.000947,0.994588
9,1.361706,0.814075,0.710211,0.814624,1.975108,0.452064,0.307188,0.458681,0.0003820988970216249,1.2736629900720832e-05,2744.1,1034.91,0.003306,0.001102,0.001315,0.001308,0.992969
10,1.288541,0.849543,0.739927,0.850111,2.010438,0.522043,0.311693,0.50337,0.0003276805078389906,1.092268359463302e-05,2744.1,1035.62,0.004669,0.001498,0.001958,0.00194,0.989935
11,1.219947,0.88781,0.775389,0.888638,2.101232,0.520644,0.299604,0.496242,0.0002723194921610094,9.07731640536698e-06,2744.1,1034.55,0.003766,0.001313,0.00187,0.001852,0.991199
12,1.177729,0.907224,0.816489,0.907753,2.215408,0.49895,0.303559,0.48656,0.00021790110297837512,7.263370099279173e-06,2744.1,1035.01,0.004438,0.001612,0.003116,0.00307,0.987764
13,1.133032,0.929625,0.852971,0.92975,2.349065,0.484955,0.31649,0.479617,0.00016627849326703853,5.542616442234618e-06,2744.1,1033.97,0.003483,0.001288,0.002584,0.00255,0.990095
14,1.084486,0.954639,0.896232,0.95476,2.385577,0.521344,0.319055,0.499254,0.0001192096090862231,3.973653636207437e-06,2744.1,1036.01,0.003079,0.001274,0.002681,0.002621,0.990346
