model,split,macro_f1,weighted_f1,accuracy,quadratic_weighted_kappa,mean_absolute_error,n,confusion_matrix,f1_class_0,f1_class_1,f1_class_2,f1_class_3,support_class_0,support_class_1,support_class_2,support_class_3
majority,Train,0.15384615384615385,0.27350427350427353,0.4444444444444444,0.0,0.6666666666666666,36,"[[0, 0, 4, 0], [0, 0, 6, 0], [0, 0, 16, 0], [0, 0, 10, 0]]",0.0,0.0,0.6153846153846154,0.0,4,6,16,10
majority,Validation,0.16037735849056603,0.3029350104821803,0.4722222222222222,0.0,0.6388888888888888,36,"[[0, 0, 4, 0], [0, 0, 4, 0], [0, 0, 17, 0], [0, 0, 11, 0]]",0.0,0.0,0.6415094339622641,0.0,4,4,17,11
majority,Test,0.17272727272727273,0.36464646464646466,0.5277777777777778,0.0,0.5555555555555556,36,"[[0, 0, 3, 0], [0, 0, 5, 0], [0, 0, 19, 0], [0, 0, 9, 0]]",0.0,0.0,0.6909090909090909,0.0,3,5,19,9
logreg_meanpool,Train,0.7717449217449217,0.7513893513893515,0.75,0.7610619469026548,0.3055555555555556,36,"[[3, 0, 1, 0], [0, 5, 0, 1], [0, 2, 11, 3], [0, 0, 2, 8]]",0.8571428571428571,0.7692307692307693,0.7333333333333333,0.7272727272727273,4,6,16,10
logreg_meanpool,Validation,0.22222873900293255,0.28959270120560443,0.3055555555555556,-0.11801242236024834,1.0555555555555556,36,"[[0, 0, 1, 3], [0, 1, 1, 2], [1, 3, 4, 9], [0, 3, 2, 6]]",0.0,0.18181818181818182,0.32,0.3870967741935484,4,4,17,11
logreg_meanpool,Test,0.34869047619047616,0.29234126984126985,0.3055555555555556,0.20065789473684215,0.9444444444444444,36,"[[2, 0, 1, 0], [0, 2, 1, 2], [1, 6, 3, 9], [1, 3, 1, 4]]",0.5714285714285714,0.25,0.24,0.3333333333333333,3,5,19,9
gaze_only,Train,0.37668350168350173,0.3767302656191545,0.3888888888888889,0.5316455696202531,0.75,36,"[[3, 0, 1, 0], [3, 1, 2, 0], [2, 2, 5, 7], [0, 2, 3, 5]]",0.5,0.18181818181818182,0.37037037037037035,0.45454545454545453,4,6,16,10
gaze_only,Validation,0.41528326745718047,0.5048748353096179,0.5,0.20161290322580638,0.8055555555555556,36,"[[1, 0, 2, 1], [1, 1, 1, 1], [3, 0, 10, 4], [1, 1, 3, 6]]",0.2,0.3333333333333333,0.6060606060606061,0.5217391304347826,4,4,17,11
gaze_only,Test,0.3201149425287356,0.4127075351213282,0.4166666666666667,0.15217391304347816,0.8333333333333334,36,"[[1, 1, 0, 1], [0, 0, 2, 3], [1, 0, 8, 10], [1, 1, 1, 6]]",0.3333333333333333,0.0,0.5333333333333333,0.41379310344827586,3,5,19,9
affect_only,Train,0.43727106227106227,0.3436100936100936,0.4166666666666667,0.6599496221662469,0.6666666666666666,36,"[[4, 0, 0, 0], [2, 3, 1, 0], [3, 3, 1, 9], [0, 0, 3, 7]]",0.6153846153846154,0.5,0.09523809523809523,0.5384615384615384,4,6,16,10
affect_only,Validation,0.33486943164362515,0.3272742788871821,0.3333333333333333,-0.04597701149425282,1.1944444444444444,36,"[[1, 0, 0, 3], [0, 2, 0, 2], [5, 0, 3, 9], [2, 2, 1, 6]]",0.16666666666666666,0.5,0.2857142857142857,0.3870967741935484,4,4,17,11
affect_only,Test,0.08712121212121213,0.056818181818181816,0.1111111111111111,0.010516252390057379,1.5277777777777777,36,"[[2, 1, 0, 0], [3, 0, 0, 2], [7, 1, 0, 11], [7, 0, 0, 2]]",0.18181818181818182,0.0,0.0,0.16666666666666666,3,5,19,9
late_fusion,Train,0.13419117647058823,0.12826797385620914,0.2222222222222222,-0.019230769230769162,1.3888888888888888,36,"[[1, 0, 0, 3], [2, 0, 0, 4], [6, 0, 0, 10], [3, 0, 0, 7]]",0.125,0.0,0.0,0.4117647058823529,4,6,16,10
late_fusion,Validation,0.15688259109311742,0.16183085919928025,0.2777777777777778,0.04761904761904767,1.2222222222222223,36,"[[1, 0, 0, 3], [1, 0, 0, 3], [5, 0, 0, 12], [2, 0, 0, 9]]",0.15384615384615385,0.0,0.0,0.47368421052631576,4,4,17,11
late_fusion,Test,0.1258741258741259,0.08041958041958042,0.16666666666666666,0.09999999999999998,1.4166666666666667,36,"[[3, 0, 0, 0], [3, 0, 0, 2], [7, 0, 0, 12], [6, 0, 0, 3]]",0.2727272727272727,0.0,0.0,0.23076923076923078,3,5,19,9
cross_attention_fusion,Train,0.4076007326007326,0.3724664224664225,0.4444444444444444,0.7167070217917675,0.6111111111111112,36,"[[4, 0, 0, 0], [4, 1, 1, 0], [2, 5, 2, 7], [0, 0, 1, 9]]",0.5714285714285714,0.16666666666666666,0.2,0.6923076923076923,4,6,16,10
cross_attention_fusion,Validation,0.2142857142857143,0.24179894179894182,0.2777777777777778,0.0806732443412651,1.2222222222222223,36,"[[2, 0, 0, 2], [1, 0, 1, 2], [6, 0, 2, 9], [2, 2, 1, 6]]",0.26666666666666666,0.0,0.19047619047619047,0.4,4,4,17,11
cross_attention_fusion,Test,0.18055555555555555,0.10030864197530864,0.16666666666666666,0.13498920086393085,1.3055555555555556,36,"[[3, 0, 0, 0], [2, 1, 0, 2], [6, 2, 0, 11], [4, 1, 2, 2]]",0.3333333333333333,0.2222222222222222,0.0,0.16666666666666666,3,5,19,9
