variant,description,split,macro_f1,accuracy,weighted_f1,quadratic_weighted_kappa,mean_absolute_error,n_parameters,best_epoch,confusion_matrix
full,Full MRG-VM: MRS guidance + Vision Mamba + landmarks + adaptive fusion,Train,0.5699134199134199,0.6388888888888888,0.6115921115921116,0.7413010590015128,0.4166666666666667,1170884,8,"[[4, 0, 0, 0], [3, 1, 1, 1], [1, 0, 12, 3], [0, 0, 4, 6]]"
full,Full MRG-VM: MRS guidance + Vision Mamba + landmarks + adaptive fusion,Validation,0.3921626984126984,0.4722222222222222,0.45356040564373895,0.20588235294117652,0.75,1170884,8,"[[1, 0, 3, 0], [0, 1, 3, 0], [3, 0, 12, 2], [1, 0, 7, 3]]"
full,Full MRG-VM: MRS guidance + Vision Mamba + landmarks + adaptive fusion,Test,0.28607503607503604,0.4722222222222222,0.42580567580567574,0.17008196721311475,0.75,1170884,8,"[[1, 0, 2, 0], [1, 0, 3, 1], [3, 0, 14, 2], [1, 0, 6, 2]]"
no_mrs_guidance,MRS no longer guides dt or pooling (score removed from the model),Train,0.6121794871794871,0.6388888888888888,0.6331908831908832,0.7338709677419355,0.4444444444444444,1170884,12,"[[4, 0, 0, 0], [3, 2, 0, 1], [2, 0, 9, 5], [0, 0, 2, 8]]"
no_mrs_guidance,MRS no longer guides dt or pooling (score removed from the model),Validation,0.38882273557196156,0.4722222222222222,0.4883415804468436,0.04366812227074235,0.9722222222222222,1170884,12,"[[1, 0, 2, 1], [1, 1, 0, 2], [5, 0, 11, 1], [2, 1, 4, 4]]"
no_mrs_guidance,MRS no longer guides dt or pooling (score removed from the model),Test,0.26120689655172413,0.3611111111111111,0.32365900383141766,0.2522658610271904,0.9166666666666666,1170884,12,"[[1, 0, 2, 0], [1, 0, 2, 2], [4, 0, 5, 10], [1, 0, 1, 7]]"
guide_delta_only,MRS guides dt but pooling is unweighted,Train,0.6121794871794871,0.6388888888888888,0.6331908831908832,0.7338709677419355,0.4444444444444444,1170884,12,"[[4, 0, 0, 0], [3, 2, 0, 1], [2, 0, 9, 5], [0, 0, 2, 8]]"
guide_delta_only,MRS guides dt but pooling is unweighted,Validation,0.38882273557196156,0.4722222222222222,0.4883415804468436,0.04366812227074235,0.9722222222222222,1170884,12,"[[1, 0, 2, 1], [1, 1, 0, 2], [5, 0, 11, 1], [2, 1, 4, 4]]"
guide_delta_only,MRS guides dt but pooling is unweighted,Test,0.26120689655172413,0.3611111111111111,0.32365900383141766,0.2522658610271904,0.9166666666666666,1170884,12,"[[1, 0, 2, 0], [1, 0, 2, 2], [4, 0, 5, 10], [1, 0, 1, 7]]"
guide_pooling_only,MRS weights pooling but dt is unmodulated,Train,0.5699134199134199,0.6388888888888888,0.6115921115921116,0.7413010590015128,0.4166666666666667,1170884,8,"[[4, 0, 0, 0], [3, 1, 1, 1], [1, 0, 12, 3], [0, 0, 4, 6]]"
