feature,mean_abs_shap,share
yaw_mean,0.02099433613306978,0.04819326679473963
gaze_yaw_mean,0.019661313869106772,0.04513326541135206
geo_nose_chin_dist_mean,0.013818862741513123,0.031721705067520534
geo_brow_eye_right_mean,0.012894765235297992,0.029600405428460812
geo_face_width_std,0.012165741293193174,0.027926904293730095
geo_face_height_max,0.011904361378882452,0.02732689713630821
geo_eye_openness_asymmetry_mean,0.011312558234910763,0.02596839136472214
geo_face_width_max,0.01015334637033448,0.02330737811300263
geo_nose_chin_dist_min,0.010036818556419873,0.02303988425230615
geo_nose_chin_dist_max,0.00995184061592194,0.022844814280475346
ear_max,0.009577188224275734,0.02198478600658999
geo_face_width_mean,0.00893102510483089,0.020501494922225836
geo_brow_eye_right_max,0.008261884471452605,0.01896545811385997
geo_eye_openness_asymmetry_std,0.008019427869230902,0.018408890111759106
geo_face_height_std,0.007412716144346583,0.017016161147169966
geo_face_height_min,0.007305026856425016,0.016768956446299974
geo_brow_eye_right_min,0.007102201467624408,0.01630336334474829
geo_brow_eye_left_mean,0.00706889996972593,0.016226918537791152
geo_face_height_mean,0.00652368763514261,0.014975363673954894
geo_mouth_openness_min,0.006411330174569228,0.014717443011950104
gaze_std_yaw_min,0.0061918150931006685,0.014213538110188564
geo_aspect_ratio_max,0.005555904071045359,0.012753781090515375
geo_brow_eye_left_min,0.005536066286684775,0.012708242730633626
iris_rel_x_mean,0.0054491916645410515,0.012508818856683653
geo_landmark_energy_min,0.005306718719646061,0.012181766998466475
gaze_pitch_max,0.005030604934185839,0.011547937700695569
geo_brow_asymmetry_max,0.004776920763614536,0.01096559640462157
vision_mamba_pc5,0.004337544819846097,0.009956992848547768
iris_rel_x_max,0.0041595462259181445,0.009548390563060592
geo_landmark_energy_max,0.0038970191384779533,0.008945750027743931
yaw_max,0.0038627441222787253,0.008867070473905527
head_std_yaw_min,0.0038506399947621883,0.008839285006290613
vision_mamba_pc7,0.003664544520262086,0.008412096035178064
gaze_yaw_std,0.003663414075619183,0.008409501058136313
geo_face_width_min,0.003595287913185268,0.008253114959472884
geo_brow_asymmetry_mean,0.003521267475552295,0.00808319833641329
geo_aspect_ratio_std,0.0035040113524795516,0.008043586274483042
pitch_mean,0.0034699611513977517,0.007965422791972878
geo_aspect_ratio_mean,0.00345688351149282,0.007935402591048727
pitch_min,0.0034338306096490996,0.007882483811340454
gaze_yaw_max,0.0033515485101939823,0.007693602241266633
vision_mamba_pc2,0.0032792521497817953,0.007527643300552859
ear_normalised_max,0.003233869814282548,0.00742346648883465
geo_mouth_width_mean,0.0032158133910307296,0.007382017308559646
geo_eye_openness_asymmetry_max,0.0032007224352811055,0.007347375467445002
roll_max,0.0031868694814381395,0.007315575505006673
geo_landmark_energy_std,0.0031257883668984955,0.00717536157156906
yaw_std,0.003016913247360888,0.006925434750833821
gaze_dispersion_std,0.0030036086268859794,0.006894893507705869
geo_landmark_energy_mean,0.0029258570395257195,0.006716411893921227
geo_landmark_velocity_max,0.0028005152982458,0.006428685340448296
head_std_pitch_std,0.0027735543997888914,0.006366795611517406
iris_rel_x_min,0.002745096357732826,0.006301469134672846
geo_aspect_ratio_min,0.002602985607273555,0.005975248707035877
gaze_std_yaw_mean,0.002535883531610611,0.00582121343702745
vision_mamba_pc3,0.002495765313195816,0.005729120598695289
